"data";"uso";"ano";"mes"
"2014-05-28";6995;2014;5
"2014-05-29";6415;2014;5
"2014-05-30";4445;2014;5
"2014-05-31";2485;2014;5
"2014-06-01";2722;2014;6
"2014-06-02";5834;2014;6
"2014-06-03";5191;2014;6
"2014-06-04";17861;2014;6
"2014-06-05";8366;2014;6
"2014-06-06";5224;2014;6
"2014-06-07";4899;2014;6
"2014-06-08";4366;2014;6
"2014-06-09";8533;2014;6
"2014-06-10";6762;2014;6
"2014-06-11";8631;2014;6
"2014-06-12";6574;2014;6
"2014-06-13";6822;2014;6
"2014-06-14";3569;2014;6
"2014-06-15";3944;2014;6
"2014-06-16";7278;2014;6
"2014-06-17";6855;2014;6
"2014-06-18";7340;2014;6
"2014-06-19";4450;2014;6
"2014-06-20";5268;2014;6
"2014-06-21";3772;2014;6
"2014-06-22";3589;2014;6
"2014-06-23";13000;2014;6
"2014-06-24";13514;2014;6
"2014-06-25";9463;2014;6
"2014-06-26";7902;2014;6
"2014-06-27";13649;2014;6
"2014-06-28";3708;2014;6
"2014-06-29";4455;2014;6
"2014-06-30";8312;2014;6
"2014-07-01";8734;2014;7
"2014-07-02";10879;2014;7
"2014-07-03";9378;2014;7
"2014-07-04";6907;2014;7
"2014-07-05";4692;2014;7
"2014-07-06";5557;2014;7
"2014-07-07";9869;2014;7
"2014-07-08";7962;2014;7
"2014-07-09";10698;2014;7
"2014-07-10";8966;2014;7
"2014-07-11";7957;2014;7
"2014-07-12";5068;2014;7
"2014-07-13";5355;2014;7
"2014-07-14";7838;2014;7
"2014-07-15";9760;2014;7
"2014-07-16";10612;2014;7
"2014-07-17";7693;2014;7
"2014-07-18";6667;2014;7
"2014-07-19";5022;2014;7
"2014-07-20";5755;2014;7
"2014-07-21";9311;2014;7
"2014-07-22";10562;2014;7
"2014-07-23";11153;2014;7
"2014-07-24";9563;2014;7
"2014-07-25";7657;2014;7
"2014-07-26";5270;2014;7
"2014-07-27";5447;2014;7
"2014-07-28";10563;2014;7
"2014-07-29";32317;2014;7
"2014-07-30";10833;2014;7
"2014-07-31";8768;2014;7
"2014-08-01";7572;2014;8
"2014-08-02";3616;2014;8
"2014-08-03";4759;2014;8
"2014-08-04";8354;2014;8
"2014-08-05";7927;2014;8
"2014-08-06";11019;2014;8
"2014-08-07";8490;2014;8
"2014-08-08";6831;2014;8
"2014-08-09";4110;2014;8
"2014-08-10";4566;2014;8
"2014-08-11";8405;2014;8
"2014-08-12";8486;2014;8
"2014-08-13";7587;2014;8
"2014-08-14";7946;2014;8
"2014-08-15";6678;2014;8
"2014-08-16";3869;2014;8
"2014-08-17";3798;2014;8
"2014-08-18";7698;2014;8
"2014-08-19";7389;2014;8
"2014-08-20";8910;2014;8
"2014-08-21";7632;2014;8
"2014-08-22";7844;2014;8
"2014-08-23";4341;2014;8
"2014-08-24";4225;2014;8
"2014-08-25";9548;2014;8
"2014-08-26";9032;2014;8
"2014-08-27";9034;2014;8
"2014-08-28";37590;2014;8
"2014-08-29";10032;2014;8
"2014-08-30";3801;2014;8
"2014-08-31";3855;2014;8
"2014-09-01";7830;2014;9
"2014-09-02";7548;2014;9
"2014-09-03";6674;2014;9
"2014-09-04";6452;2014;9
"2014-09-05";5826;2014;9
"2014-09-06";3108;2014;9
"2014-09-07";3175;2014;9
"2014-09-08";6465;2014;9
"2014-09-09";7935;2014;9
"2014-09-10";8528;2014;9
"2014-09-11";7678;2014;9
"2014-09-12";6798;2014;9
"2014-09-13";3222;2014;9
"2014-09-14";3713;2014;9
"2014-09-15";8161;2014;9
"2014-09-16";6617;2014;9
"2014-09-17";6137;2014;9
"2014-09-18";5683;2014;9
"2014-09-19";5355;2014;9
"2014-09-20";3034;2014;9
"2014-09-21";3372;2014;9
"2014-09-22";7358;2014;9
"2014-09-23";6731;2014;9
"2014-09-24";6327;2014;9
"2014-09-25";6431;2014;9
"2014-09-26";5466;2014;9
"2014-09-27";3392;2014;9
"2014-09-28";3133;2014;9
"2014-09-29";26426;2014;9
"2014-09-30";22920;2014;9
"2014-10-01";6548;2014;10
"2014-10-02";4327;2014;10
"2014-10-03";3874;2014;10
"2014-10-04";1276;2014;10
"2014-10-05";1690;2014;10
"2014-10-06";5191;2014;10
"2014-10-07";9271;2014;10
"2014-10-08";5240;2014;10
"2014-10-09";5840;2014;10
"2014-10-10";4101;2014;10
"2014-10-11";2511;2014;10
"2014-10-12";2758;2014;10
"2014-10-13";6234;2014;10
"2014-10-14";5332;2014;10
"2014-10-15";5497;2014;10
"2014-10-16";5614;2014;10
"2014-10-17";4558;2014;10
"2014-10-18";4321;2014;10
"2014-10-19";2393;2014;10
"2014-10-20";5855;2014;10
"2014-10-21";6920;2014;10
"2014-10-22";5454;2014;10
"2014-10-23";5666;2014;10
"2014-10-24";4891;2014;10
"2014-10-25";2889;2014;10
"2014-10-26";3667;2014;10
"2014-10-27";6015;2014;10
"2014-10-28";6349;2014;10
"2014-10-29";12321;2014;10
"2014-10-30";33322;2014;10
"2014-10-31";5543;2014;10
"2014-11-01";3004;2014;11
"2014-11-02";3264;2014;11
"2014-11-03";6757;2014;11
"2014-11-04";6350;2014;11
"2014-11-05";6570;2014;11
"2014-11-06";5791;2014;11
"2014-11-07";5635;2014;11
"2014-11-08";3187;2014;11
"2014-11-09";3539;2014;11
"2014-11-10";6816;2014;11
"2014-11-11";6617;2014;11
"2014-11-12";6250;2014;11
"2014-11-13";5743;2014;11
"2014-11-14";5120;2014;11
"2014-11-15";3066;2014;11
"2014-11-16";3512;2014;11
"2014-11-17";7068;2014;11
"2014-11-18";6753;2014;11
"2014-11-19";6690;2014;11
"2014-11-20";6551;2014;11
"2014-11-21";5834;2014;11
"2014-11-22";3699;2014;11
"2014-11-23";3440;2014;11
"2014-11-24";7118;2014;11
"2014-11-25";5960;2014;11
"2014-11-26";5766;2014;11
"2014-11-27";6463;2014;11
"2014-11-28";26761;2014;11
"2014-11-29";3587;2014;11
"2014-11-30";3433;2014;11
"2014-12-01";23318;2014;12
"2014-12-02";6748;2014;12
"2014-12-03";6385;2014;12
"2014-12-04";6169;2014;12
"2014-12-05";5715;2014;12
"2014-12-06";3329;2014;12
"2014-12-07";3678;2014;12
"2014-12-08";7246;2014;12
"2014-12-09";6831;2014;12
"2014-12-10";6638;2014;12
"2014-12-11";6520;2014;12
"2014-12-12";6402;2014;12
"2014-12-13";3351;2014;12
"2014-12-14";3700;2014;12
"2014-12-15";6571;2014;12
"2014-12-16";6580;2014;12
"2014-12-17";5954;2014;12
"2014-12-18";6111;2014;12
"2014-12-19";5612;2014;12
"2014-12-20";3652;2014;12
"2014-12-21";3674;2014;12
"2014-12-22";6301;2014;12
"2014-12-23";4138;2014;12
"2014-12-24";2539;2014;12
"2014-12-25";1954;2014;12
"2014-12-26";3550;2014;12
"2014-12-27";2682;2014;12
"2014-12-28";2641;2014;12
"2014-12-29";43463;2015;12
"2014-12-30";2710;2015;12
"2014-12-31";1879;2015;12
"2015-01-01";1503;2015;1
"2015-01-02";3432;2015;1
"2015-01-03";2653;2015;1
"2015-01-04";3289;2015;1
"2015-01-05";6479;2015;1
"2015-01-06";6385;2015;1
"2015-01-07";5850;2015;1
"2015-01-08";5969;2015;1
"2015-01-09";5862;2015;1
"2015-01-10";3456;2015;1
"2015-01-11";3335;2015;1
"2015-01-12";5566;2015;1
"2015-01-13";5196;2015;1
"2015-01-14";4451;2015;1
"2015-01-15";4681;2015;1
"2015-01-16";4987;2015;1
"2015-01-17";2993;2015;1
"2015-01-18";3140;2015;1
"2015-01-19";5143;2015;1
"2015-01-20";5058;2015;1
"2015-01-21";4688;2015;1
"2015-01-22";5223;2015;1
"2015-01-23";5564;2015;1
"2015-01-24";2943;2015;1
"2015-01-25";2708;2015;1
"2015-01-26";4930;2015;1
"2015-01-27";4189;2015;1
"2015-01-28";48211;2015;1
"2015-01-29";5445;2015;1
"2015-01-30";5497;2015;1
"2015-01-31";3444;2015;1
"2015-02-01";3080;2015;2
"2015-02-02";5675;2015;2
"2015-02-03";4069;2015;2
"2015-02-04";6426;2015;2
"2015-02-05";5288;2015;2
"2015-02-06";5443;2015;2
"2015-02-07";3060;2015;2
"2015-02-08";2677;2015;2
"2015-02-09";6022;2015;2
"2015-02-10";5828;2015;2
"2015-02-11";5916;2015;2
"2015-02-12";6135;2015;2
"2015-02-13";5606;2015;2
"2015-02-14";3099;2015;2
"2015-02-15";2821;2015;2
"2015-02-16";3772;2015;2
"2015-02-17";2805;2015;2
"2015-02-18";4983;2015;2
"2015-02-19";5212;2015;2
"2015-02-20";5949;2015;2
"2015-02-21";2936;2015;2
"2015-02-22";2505;2015;2
"2015-02-23";5495;2015;2
"2015-02-24";3520;2015;2
"2015-02-25";3920;2015;2
"2015-02-26";4246;2015;2
"2015-02-27";6034;2015;2
"2015-02-28";2714;2015;2
"2015-03-01";2368;2015;3
"2015-03-02";6169;2015;3
"2015-03-03";8305;2015;3
"2015-03-04";10482;2015;3
"2015-03-05";40966;2015;3
"2015-03-06";12022;2015;3
"2015-03-07";12129;2015;3
"2015-03-08";5101;2015;3
"2015-03-09";9689;2015;3
"2015-03-10";8661;2015;3
"2015-03-11";8968;2015;3
"2015-03-12";8041;2015;3
"2015-03-13";7749;2015;3
"2015-03-14";4992;2015;3
"2015-03-15";4978;2015;3
"2015-03-16";8819;2015;3
"2015-03-17";9034;2015;3
"2015-03-18";11902;2015;3
"2015-03-19";7870;2015;3
"2015-03-20";8619;2015;3
"2015-03-21";5004;2015;3
"2015-03-22";5198;2015;3
"2015-03-23";10474;2015;3
"2015-03-24";8852;2015;3
"2015-03-25";8604;2015;3
"2015-03-26";8091;2015;3
"2015-03-27";9008;2015;3
"2015-03-28";5606;2015;3
"2015-03-29";6315;2015;3
"2015-03-30";10265;2015;3
"2015-03-31";9299;2015;3
"2015-04-01";75387;2015;4
"2015-04-02";7598;2015;4
"2015-04-03";4268;2015;4
"2015-04-04";3609;2015;4
"2015-04-05";4126;2015;4
"2015-04-06";12572;2015;4
"2015-04-07";10592;2015;4
"2015-04-08";10301;2015;4
"2015-04-09";10048;2015;4
"2015-04-10";9622;2015;4
"2015-04-11";6146;2015;4
"2015-04-12";6391;2015;4
"2015-04-13";10813;2015;4
"2015-04-14";8979;2015;4
"2015-04-15";10525;2015;4
"2015-04-16";8953;2015;4
"2015-04-17";7797;2015;4
"2015-04-18";4653;2015;4
"2015-04-19";4252;2015;4
"2015-04-20";7704;2015;4
"2015-04-21";5767;2015;4
"2015-04-22";8772;2015;4
"2015-04-23";8742;2015;4
"2015-04-24";6532;2015;4
"2015-04-25";3757;2015;4
"2015-04-26";3737;2015;4
"2015-04-27";7911;2015;4
"2015-04-28";7811;2015;4
"2015-04-29";72230;2015;4
"2015-04-30";4781;2015;4
"2015-05-01";3944;2015;5
"2015-05-02";3387;2015;5
"2015-05-03";3996;2015;5
"2015-05-04";8616;2015;5
"2015-05-05";8919;2015;5
"2015-05-06";7888;2015;5
"2015-05-07";8228;2015;5
"2015-05-08";7319;2015;5
"2015-05-09";3660;2015;5
"2015-05-10";3341;2015;5
"2015-05-11";9355;2015;5
"2015-05-12";8424;2015;5
"2015-05-13";8497;2015;5
